SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000088,MARG LONCO C/L SIN LACT 12X500GR,LONCOLECHE,MARGARINA FUNCIONAL,MARGARINA FUNCIONAL,Walmart,202534,202508,0.864,0.9,0.864,0.864,0.0,0.0,0.7520000000000001
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,1.512,1.6,1.8144,1.8144,0.0,0.0,1.6499
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,7.257600000000001,8.0,8.6184,8.6184,0.0,0.0,7.3512
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,5.2974,10.0,6.8094,6.8094,0.0,0.0,9.65385
30001995,MARGARINA SUREÑA POT 24X250GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,1.296,0.5,1.296,1.296,0.0,0.0,0.6115
30002105,PROBIOTICO CALAN FLLA TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Alvi,202534,202508,0.0,0.2,0.0,0.0,0.0,0.0,0.0
30002106,PROBIOTICO CALAN DSCO TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Alvi,202534,202508,0.0,0.1,0.0,0.0,0.0,0.0,0.0
30002105,PROBIOTICO CALAN FLLA TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Canal Tradicional,202534,202508,0.3538000000000001,0.8,0.381024,0.381024,0.0,0.0,0.0
30002106,PROBIOTICO CALAN DSCO TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Canal Tradicional,202534,202508,0.05833000000000001,0.1,0.178848,0.085536,0.09331200000000002,0.0,0.0
30002105,PROBIOTICO CALAN FLLA TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Cencosud,202534,202508,0.5793600000000001,1.5,0.7153919999999999,0.6842879999999999,0.01944,0.007776,0.781164
30002106,PROBIOTICO CALAN DSCO TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Cencosud,202534,202508,0.22165,0.8,0.295488,0.244944,0.042768,0.007776,0.4357799999999999
30002105,PROBIOTICO CALAN FLLA TETRA 3X12X108ML,CALAN,PROBIOTICO TETRA,PROBIOTICO,Supermercados Region,202534,202508,0.22552,0.6,0.225504,0.225504,0.0,0.0,0.0
