SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30001684,NECTAR W DZNO S/AZUCAR 30X200ML,WATT'S,NECTAR INDIVIDUAL 0%,JUGOS Y NECTARES,Supermercados Region,202610,202603,0.096,0.1309090909090909,0.096,0.096,0.0,0.0,0.0
30001698,SALSA TOMATES WASIL SACHET 24X180 GRS,WASIL,SALSA TOMATE SACHET WASIL,SALSAS,Supermercados Region,202610,202603,1.0152,1.0,1.09296,1.01952,0.0,0.07344,0.0
30001715,LP LONCO SEMIDESCREMADA 10X760GR,LONCOLECHE,LECHE POLVO SEMIDESCREMADA,LECHES EN POLVO,Supermercados Region,202610,202603,0.19,0.3192,0.2128,0.2128,0.0,0.0,0.0
30001748,MERMELADA CIRUELA 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.1404,0.2162210690199098,0.1782,0.1782,0.0,0.0,0.0
30001749,MERMELADA DAMASCO 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.2754,0.3874825427541698,0.3402,0.3186,0.0,0.0,0.0
30001750,MERMELADA FRAMBUESA 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.5508000000000002,0.5374400851838449,0.5886,0.5886,0.0,0.0,0.0
30001751,MERMELADA DURAZNO 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.4914,0.677327702989655,0.54,0.5346000000000001,0.0,0.0,0.0
30001752,MERMELADA FRUTAS DEL SUR 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.1944,0.2645007574958846,0.1998,0.1998,0.0,0.0,0.0
30001753,MERMELADA MORA 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,1.1286,1.319875380370415,1.1988,1.1718,0.0,0.0162,0.0
30001754,MERMELADA ALCAYOTA 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.2808,0.5128160606889353,0.3294,0.3240000000000001,0.0,0.0,0.0
30001760,MERMELADA FRUTILLA 24X225GR,WATT'S,MERMELADAS WATTS SACHET 24X,MERMELADAS,Supermercados Region,202610,202603,0.3563999999999999,0.4556827903720941,0.3834,0.378,0.0,0.0,0.0
30001762,NECTAR WATTS DURAZNO SIXPACK 5X6X115ML,WATT'S,NECTAR 115,JUGOS Y NECTARES,Supermercados Region,202610,202603,0.0,0.0,0.03105,0.0,0.0,0.03105,0.0
30001763,NECTAR WATTS MANZANA SIXPACK 5X6X115ML,WATT'S,NECTAR 115,JUGOS Y NECTARES,Supermercados Region,202610,202603,0.0,0.0,0.0483,0.0,0.0,0.0483,0.0
30001764,MERMELADA MORA L L 24X225GR,LOS LAGOS,MERMELADA LOS LAGOS,MERMELADAS,Supermercados Region,202610,202603,0.7073999999999998,0.8089990292925257,0.7452000000000001,0.7452000000000001,0.0,0.0,0.0
30001765,MERMELADA FRUTILLA L L 24X225GR,LOS LAGOS,MERMELADA LOS LAGOS,MERMELADAS,Supermercados Region,202610,202603,0.3671999999999999,0.4909267401358993,0.4158000000000001,0.3942000000000001,0.0,0.0,0.0
30001766,MERMELADA DURAZNO L L 24X225GR,LOS LAGOS,MERMELADA LOS LAGOS,MERMELADAS,Supermercados Region,202610,202603,0.2754,0.5141666190829668,0.297,0.297,0.0,0.0,0.0
30001767,MERMELADA DAMASCO L L 24X225GR,LOS LAGOS,MERMELADA LOS LAGOS,MERMELADAS,Supermercados Region,202610,202603,0.2052,0.3859076114886086,0.2322,0.2322,0.0,0.0,0.0
30001776,JUGO 100% FRUTA LV WATTS MZNA 12X1LT,WATT'S,JUGO 100% 1L,JUGOS Y NECTARES,Supermercados Region,202610,202603,0.024,0.06375,0.024,0.024,0.0,0.0,0.0
30001780,ACEITE BELMONT CANOLA 12X900ML,BELMONT,ACEITE BELMONT TRADICIONAL,ACEITES,Supermercados Region,202610,202603,0.39748,0.357696,0.4570560000000001,0.417312,0.0,0.039744,0.0
